epoch,time,LOSS_train,RMSE_train,R2_train,LOSS_test,RMSE_test,R2_test,Lr
1, 88.06773958799022, 8156079662932.7705, 31929.768, -0.0013893776174007666, 64196017617.8115, 8012.2417, -0.0006867413893594243, [0.0001]
2, 173.7434995539952, 8151815238042.481, 31921.418, -0.0008657988929068328, 64273653219.14967, 8017.0845, -0.001896924198227845, [0.0001]
3, 259.36898446398845, 8151232114296.838, 31920.277, -0.000794203966318241, 64143494326.54965, 8008.9634, 0.00013199103564520698, [0.0001]
4, 345.0273768299958, 8151215435321.213, 31920.244, -0.0007921561504911079, 65562097389.62871, 8097.042, -0.021981176247860335, [0.0001]
5, 430.6779457569937, 8151473474124.777, 31920.748, -0.0008238377092275595, 64224246362.8849, 8014.0034, -0.0011267707240321112, [0.0001]
6, 516.2720062969893, 8150994103447.614, 31919.809, -0.0007649814052321791, 64475183807.93587, 8029.644, -0.005038380563688882, [0.0001]
7, 601.8533285809972, 8147759323679.42, 31913.475, -0.00036782073090391165, 63899477265.233, 7993.715, 0.003935726017869734, [0.0001]
8, 687.4104975800001, 8147403832329.674, 31912.78, -0.0003241741168229506, 63824814773.54209, 7989.0435, 0.005099564029738324, [0.0001]
9, 773.0475412459928, 8128613473730.533, 31875.957, 0.001982873665990592, 70127337081.49615, 8374.207, -0.0931440770077463, [0.0001]
10, 858.6910752719996, 8111459369831.7, 31842.307, 0.004089024922076523, 63446715559.625656, 7965.3447, 0.010993369974967693, [0.0001]
11, 944.3303341049905, 8129934268478.734, 31878.547, 0.0018207087674683153, 62175531497.24588, 7885.146, 0.03080857166959694, [0.0001]
12, 1029.9630785479967, 8109574383472.957, 31838.605, 0.004320460292328798, 61586276293.45244, 7847.6924, 0.03999387461535442, [0.0001]
13, 1115.535615803994, 7984694187452.556, 31592.51, 0.019653035124565954, 53854303399.45091, 7338.55, 0.1605197739923665, [0.0001]
14, 1201.189029422996, 7891700912656.504, 31408.004, 0.03107058882917757, 43740515304.625626, 6613.661, 0.3181733797341839, [0.0001]
15, 1286.7297754889878, 7533839155555.846, 30687.617, 0.07500823743316976, 34139357893.268314, 5842.889, 0.46783610462059044, [0.0001]
16, 1372.2989452289912, 7315016865523.871, 30238.67, 0.10187486035493709, 33781712911.73494, 5812.2036, 0.4734110702403518, [0.0001]
17, 1457.864796623995, 6960248069151.777, 29496.29, 0.14543276058140586, 37470654282.99678, 6121.328, 0.4159078970379041, [0.0001]
18, 1543.3824940579943, 6551864643607.492, 28617.88, 0.19557337239931116, 29343516076.733143, 5416.9653, 0.542593628493471, [0.0001]
19, 1628.943560456988, 6450104729632.593, 28394.773, 0.20806727892463006, 41298713231.83488, 6426.4077, 0.35623616072919695, [0.0001]
20, 1714.4914784729917, 6052681907427.256, 27506.096, 0.2568621667906543, 34155816433.742966, 5844.298, 0.46757954909196475, [0.0001]
21, 1800.1137476209988, 5825653082470.019, 26985.303, 0.28473637390002793, 40665040249.999054, 6376.9146, 0.36611384745853404, [0.0001]
